[2024-06-11T19:55:01.345826+00:00] name.WARNING: Foo [] []
[2024-06-12T13:52:18.855503+00:00] name.WARNING: Hello Erik [] []
[2024-06-12T14:01:16.300724+00:00] name.WARNING: Hello Erik [] []
[2024-06-12T14:01:17.371057+00:00] name.WARNING: Hello Erik [] []
[2024-06-12T14:01:17.905766+00:00] name.WARNING: Hello Erik [] []
[2024-06-12T14:01:18.353556+00:00] name.WARNING: Hello Erik [] []
[2024-06-12T14:01:18.721603+00:00] name.WARNING: Hello Erik [] []
[2024-06-12T14:01:19.088794+00:00] name.WARNING: Hello Erik [] []
[2024-06-12T14:01:19.511101+00:00] name.WARNING: Hello Erik [] []
[2024-06-12T14:01:19.750163+00:00] name.WARNING: Hello Erik [] []
[2024-06-12T14:01:20.081039+00:00] name.WARNING: Hello Erik [] []
